,deu,nds
6136,Das Auge ist der Spiegel des Herzen.,Dat Oog is de Spegel vun ’t Hart.
6137,Der Mann verkaufte dem Teufel seine Seele.,De Mann hett den Düvel sien Seel verköfft.
6138,"Schäl den Apfel, bevor du ihn isst.","Schell den Appel, ehrdat du em ittst."
6139,Er mag italienische Speisen.,He mag italieensch Eten.
6140,Er hob seinen Arm.,He deed sien Arm hoogböhren.
6141,Heute Morgen hat es bei uns geschneit.,Vonmorgen hett dat bi uns sneet.
6142,Ich war dort ein paar Mal.,Ik weer dar en paar Maal.
6143,Hast du für heute Abend schon etwas vor?,Hest du vonavend al wat vör?
6144,Ich kann mich gut an ihn erinnern.,Ik kann mi goot op em besinnen.
6145,Wo ist sie hingegangen?,Woneem is se hengahn?
6146,Ich lerne.,Ik lehr.
6147,Ich weiß es nicht und will es auch nicht wissen.,Ik weet dat nich un will dat ok nich weten.
6148,"Es ist Zeit, schlafen zu gehen.",Dat is Tied slapen to gahn.
6149,Du bist meine Prinzessin.,Du büst mien Prinzess.
6150,Der Junge isst Brot.,De Jung itt Broot.
6151,Der Mann hat Brot gegessen.,De Mann hett Broot eten.
6152,Seine Schwester kann heute nicht mit dir reden.,Sien Süster kann vondaag nich mit di snacken.
6153,Die Uhr geht eine Minute vor.,De Klock geiht een Minuut vör.
6154,Sie wird mich heute Nachmittag besuchen kommen.,Se schall mi vonnamiddag besöken kamen.
6155,"Sie hat die Kinder davor gewarnt, auf der Straße zu spielen.","Se hett de Kinner wohrschaut, nich op de Straat to spelen."
6156,Hinter meinem Haus ist ein kleiner Teich.,Achter mien Huus is en lütten Diek.
6157,Diese Schuhe gehören mir.,Disse Schoh höört mi to.
6158,Diese Schuhe gehören ihr.,Disse Schoh höört mi to.
6159,Hast du dir schon die Hände gewaschen?,Hest du di al de Hannen wuschen?
6160,Letztes Jahr um diese Zeit lag viel Schnee.,Vergangen Jahr düsse Tied leeg veel Snee.
6161,Heute ist es ungefähr genauso warm wie gestern.,Vondaag is dat üm un bi jüstso warm as güstern.
6162,Hast du ihn schon kennengelernt?,Hest du em al kennenlehrt?
6163,Hast du ihn bereits kennengelernt?,Hest du em al kennenlehrt?
6164,Für sein Alter kann er gut laufen.,För sien Öller kann he goot lopen.
6165,Ich möchte nächste Woche meinen Freund besuchen.,Ik will toern Week mien Fründ besöken.
6166,Madonnas Konzert lockte eine große Zuhörerschaft an.,Madonna ehr Kunzert hett veel Tohörers antagen.
6167,Stephen King ist einer meiner Lieblingsschriftsteller.,Stephen King is een vun mien leevsten Schrievers.
6168,Stephen King ist einer meiner liebsten Schriftsteller.,Stephen King is een vun mien leevsten Schrievers.
6169,Als Junge ging ich jeden Sonntag in die Kirche.,As Jung bün ik jeden Sünndag na Kark gahn.
6170,Als Junge bin ich jeden Sonntag in die Kirche gegangen.,As Jung bün ik jeden Sünndag na Kark gahn.
6171,"Was heißt ""kaisha"" auf Englisch?",Wat heet „kaisha“ op Engelsch?
6172,Wer schrieb dieses Gedicht?,’Keen hett dit Gedicht schrieven?
6173,"Sie muss sehr jung gewesen sein, als sie dieses Gedicht geschrieben hat.","Se mutt temlich jung wesen hebben, as se dit Gedicht schrieven hett."
6174,Mit meiner Schreibmaschine stimmt etwas nicht.,Mit mien Schrievmaschien stimmt wat nich.
6175,Kannst du dieses Rätsel lösen?,Kannst du dit Radel lösen?
6176,Mein neues Kleid ist rot.,Mien nich Kleed is root.
6177,Ich koche in einem großen Topf Suppe.,Ik kaak in en groten Pott Supp.
6178,Woran denkst du?,Wo denkst du an?
6179,Er hat langes Haar.,He hett lang Hoor.
6180,Er ist immer gegen mich.,He is ümmer gegen mi.
6181,Dieser Hund gehört dir.,Disse Hund höört di to.
6182,Ich kann es nicht sehen.,Ik kann dat nich sehn.
6183,Dieser Baum ist höher als alle anderen.,Disse Boom is höger as all de ännern.
6184,Die Maus ist ins Loch gerannt.,De Muus is in ’t Lock rönnt.
6185,Was denkst du über diese Angelegenheit?,Wat denkst du över düsse Saak?
6186,Er ist viel besser als du.,He is veel beter as du.
6187,"Du bist Deutscher, nicht?","Du büst en Düütschen, nech?"
6188,Hör auf!,Holl op!
6189,Das Buch ist jetzt bereit zur Veröffentlichung.,Dat Book is nu praat to ’n Rutgeven.
6190,Sind Suppe und Salat in diesem Preis enthalten?,Sünn Supp un Salaat in dissen Pries mit in?
6191,"Wenn du von zehn vier wegnimmst, dann hast du sechs.","Wenn du vun teihn veer wegnimmst, denn hest du söss."
6192,Was kostet diese Mütze?,Wat köst düsse Mütz?
6193,"Es ist fünf Jahre her, dass wir hierher gezogen sind.","Dat is fief Jahr her, dat wi hier her trocken sünd."
6195,Tom mag keine Haustiere.,Tom mag keen Huusdeerten.
6196,"Lass uns messen, wie groß du bist.","Laat uns meten, wo groot du büst."
6197,Er stahl meine Uhr.,He hett mien Klock stahlen.
6198,Er gab auf.,He hett opgeven.
6199,Die Tokaido-Linie endet in Tokio.,De Tokaido-Lien is in Tokyo toenn.
6200,Es ist Zeit für die Nachrichten auf Kanal 79.,Dat is Tied för de Narichten op Kanaal 79.
6201,Es hat den ganzen Tag ununterbrochen geregnet.,Dat hett den ganzen Dag jümmerto regent.
6202,Ein Lastwagen raste die Straße entlang.,En Lastwagen deed de Straat langsjagen.
6203,"Ich kenne jemanden, der Russisch gut sprechen kann.","Ik kenn een, de goot Russ’sch snacken kann."
6204,"Es wird 500 Dollar kosten, nach Paris zu fliegen.","Dat schall 500 Dollar kösten, na Paris to flegen."
6205,Wo ist Paris?,Woneem is Paris?
6206,Dieser Mann ist tot.,Disse Mann is doot.
6207,Ich bin Lin.,Ik bün Lin.
6208,Du kannst deinen Namen auf ein Namensschild schreiben.,Du kannst dien Naam op en Naamschild schrieven.
6209,Einmal im Monat isst sie mit ihrem Vater zu Mittag.,Een Maal in ’n Maand itt se mit ehren Vadder to Middag.
6210,Ich gebe gern Geld für Bücher aus.,Ik geev geern Geld för Böker ut.
6211,Im Unterschied zu Erdbeeren schmeckt Ananas auch aus der Dose.,In ’n Ünnerscheed to Eerdbeern smeckt Ananas ok ut de Doos.
6213,Wer schrieb Hamlet?,’Keen hett Hamlet schrieven?
6214,Er sagte kein Wort.,He seed keen Woort.
6215,Ihr Zeh blutet.,Ehr Tehn blöddt.
6216,"Ich weiß, dass du es besser machen kannst.","Ik weet, dat du dat beter maken kannst."
6217,Er begann seinen Tag mit einem guten Frühstück.,He füng sien Dag mit en goot Fröhstück an.
6218,Er fing seinen Tag mit einem guten Frühstück an.,He füng sien Dag mit en goot Fröhstück an.
6219,Ich habe viel von dir gehört.,Ik heff veel vun di höört.
6220,Die Rose ist von Theodor.,De Roos is vun Theodor.
6221,Schlaue Leute lernen aus ihren Fehlern.,Klüftige Lüüd lehrt ut jemehr Fehlers.
6222,Er hat ihr zugewinkt.,He hett ehr towunken.
6223,Ich habe meine Temperatur alle sechs Stunden gemessen.,Ik heff mien Temperatur all söss Stünnen meten.
6224,Eine Kette ist nicht stabiler als ihr schwächstes Glied.,En Keed is nich stabiler as ehr swäckst Lidd.
6225,"Er ist erschöpft, und ich auch.",He is kaputt un ik ok.
6226,Ich fühle mich immer müde.,Ik föhl mi ümmer mööd.
6227,Seid ihr krank?,Feelt ji wat?
6228,"Aus Furcht, sie könnte ausrutschen, ging sie langsam.","Ut Angst, se kunn utglippen, güng se sinnig."
6229,Wer weiß Hu Jintaos Geburtsdatum?,’Keen weet Hu Jintao sien Geboortsdag?
6230,Er kann tausend Meter in vier Minuten laufen.,He kann dusend Meter in veer Minuten lopen.
6231,Wo hast du diese Puppe gefunden?,Wo hest du düsse Popp funnen?
6232,Wie viel kostet ein Bier?,Woveel köst en Beer?
6233,Du bist nicht unser Freund.,Du büst nich uns Fründ.
6234,"Du sollst nicht rauchen, während du arbeitest.",Du schasst bi de Arbeit nich smöken.
6235,Er hat schon gegessen.,He hett al eten.
6236,Sie haben schon gegessen.,Se hebbt al eten.
6237,Er fiel rückwärts zu Boden.,He füll rüggels an ’e Eerd.
6238,Er lag auf seinem Rücken und blickte gen Himmel.,He leeg op ’n Rüch un keek na ’n Heven.
6239,Du hast schon gegessen.,Du hest al eten.
6240,Der Bettler besaß nur einen Hund.,De Pracher harr bloot en Hund.
6241,Sie hat viele Wettbewerbe gewonnen.,Se hett veel Weddstrieden wunnen.
6242,Einige von Ihnen kennen mich bereits.,Welk vun jo kennt mi al.
6243,"Ich wusste nicht, dass sie ein Kind hat.","Ik wüss nich, dat se en Kind hett."
6244,"Ich wüsste nicht, dass sie ein Kind hat.","Ik wüss nich, dat se en Kind hett."
6245,Dreh den Schlüssel nach rechts.,Dreih den Slötel na rechts.
6246,Drehe den Schlüssel nach rechts.,Dreih den Slötel na rechts.
6247,Fährst du mit dem Bus oder mit dem Auto dorthin?,Föhrst du dar mit ’n Bus oder mit dat Auto hen?
6248,Fährst du dorthin mit dem Bus oder mit dem Auto?,Föhrst du dar mit ’n Bus oder mit dat Auto hen?
6249,Tom stand in der Mitte des Zimmers.,Tom stünn in ’e Mitt vun ’e Kamer.
6250,"Ich fühlte, wie mein Herz schlug, nachdem ich ein wenig gerannt war.","Ik heff föhlt, wo mien Hart puckern deed, as ik en beten rönnt bün."
6251,"Entschuldigen Sie, aber wir haben es ebenfalls eilig.","Deit mi leed, man wi hebbt dat ok hild."
6252,Ich bin schon seit zwei Stunden da.,Ik bün al twee Stünnen dar.
6253,Tue so als wärst du ich.,"Do so, as wenn du ik weerst."
6254,"Bitte grüß sie von mir, wenn du sie auf der Party siehst!","Grött ehr man, wenn du ehr bi de Party süst."
6255,Ich hatte viel Spaß auf der Party.,Ik harr veel Spaß op de Party.
6256,"Ich kann kein Spanisch, aber mit Hilfe eines spanisch-deutschen Wörterbuchs habe ich deinen Brief ein bisschen verstanden.","Ik kann keen Spaansch, aver mit de Help vun en Spaansch-Düütsch-Wöörbook heff ik dien Breef en beten verstahn."
6257,"Tommy, kannst du mich hören?","Tommy, kannst du mi hören?"
6258,Da sind ein paar Äpfel im Korb.,Dor sünd en paar Appels in ’n Korv.
6259,Ich kann die Klitoris meiner Freundin nicht finden.,Ik kann de Klitoris vun mien Fründin nich finnen.
6260,"Ich habe das Radio eingeschaltet, um die Nachrichten zu hören.","Ik heff dat Radio anmaakt, üm de Narichten to hören."
6261,In ihrer Familie gab es einen Todesfall.,In ehr Familie is een doodbleven.
6262,Ich schaue gerne lesbische Pornos.,Ik kiek geern Lesbenpornos.
6263,Sie hat große Titten.,Se hett groot Titten.
6264,Sie denkt die ganze Zeit an Schwänze.,Se denkt de ganze Tied ümmer an Piephahns.
6265,Ich öffnete die Schachtel. Sie war leer.,Ik heff de Schachtel apen maakt. Se weer leddig.
6266,Ich habe die Schachtel geöffnet. Sie war leer.,Ik heff de Schachtel apen maakt. Se weer leddig.
6267,Ich folgte ihm.,Ik deed em nagahn.
6268,Ich ging ihm nach.,Ik deed em nagahn.
6269,Der Vogel suchte nach Käfern.,De Vagel deed na Sebbers söken.
6270,Der Vogel suchte nach Käfern.,De Vagel söch na Kevers.
6271,Wie alt ist dein Sohn?,Wo oolt is dien Söhn?
6272,"Ich bin besoffen, aber ich kann immer noch Deutsch sprechen.","Ik ben duune, aver ik kann noch Platt küern."
6273,Sie vergisst immer meine Telefonnummer.,Se vergitt ümmer mien Telefoonnummer.
6274,"Weißt du, wie viele Menschen auf der Welt jährlich verhungern?","Weetst du, woveel Lüüd op de Welt elk Jahr verhungert?"
6275,In China wird nach dem Mondkalender Neujahr gefeiert.,In China warrt na ’n Maandklenner Neejohr fiert.
6276,Es gibt keine sauberen Teller.,Dat gifft keen rein Tellers.
6277,"Ihr steht nicht so früh auf wie eure ältere Schwester, oder?","Ji staht nich so froh op as joon öllere Süster, nee?"
6278,Hast du Durst?,Hest du Döst?
6279,Das ist nicht das Gleiche.,Dat is nich dat sülve.
6280,"Das Preisgeld ermöglichte es mir, eine Weltreise zu machen.",Mit dat Priesgeld kunn ik en Weltreis maken.
6281,"Mein Bruder ist groß genug, um in die Schule zu gehen.","Mien Broder is groot noog, üm na School to gahn."
6282,Die Kerze erlosch.,De Kars deed utgahn.
6283,Ich bin der König der Welt!,Ik bün de Köning vun de Welt!
6284,Er kann Tennis spielen.,He kann Tennis spelen.
6285,"Ich wollte nicht, dass das so barsch klingt.","Ik woll nich, dat dat so basch klingt."
6286,Ich halte das nicht mehr aus!,Ik holl dat nich mehr ut!
6287,Ich halte es nicht mehr aus!,Ik holl dat nich mehr ut!
6288,Hast du irgendein Problem damit?,Hest du dar en Problem mit?
6289,Es könnte eine Hochzeit sein.,Dat kunn en Hochtiet wesen.
6290,Hast du ein Problem damit?,Hest du dar en Probleem mit?
6291,"Die Frage ist, wie wir das Geld bekommen werden.","De Fraag is, woans wi dat Geld kriegen schöölt."
6292,Lasst uns essen gehen.,Laat uns eten gahn.
6293,Der Autor übersetzte das Märchen in unsere Muttersprache.,De Schriever hett dat Märken in uns Moderspraak översett.
6294,"Wenn dein Zahn wehtut, solltest du zum Zahnarzt gehen.","Wenn dien Tahn kellt, denn schusst du na ’n Tähndokter gahn."
6295,Das hat nichts mit dir zu tun.,Dat hett nix mit di to doon.
6296,Der Tee ist heiß.,De Tee is heet.
6297,Der Tee ist heiß.,De Tee is heet.
6298,Sie brachte die Kinder ins Bett.,Se bröch de Kinner na Bedd.
6299,Heute am Nachthimmel scheinen die Sterne sehr hell.,An ’n Heven lücht de Steerns vonnacht besünners hell.
6300,Was ist besser als Freundschaft?,Wat is beter as Fründschop?
6301,"Es ist einfacher, als ich dachte.",Dat is lichter as ik dach.
6302,Du musst die Nacht über bleiben.,Du musst de Nacht över blieven.
6303,Meine Mama kaufte mir ein neues Fahrrad.,Miene Mama hett mi en nich Fohrrad köfft.
6304,Was sagst du?,Wat seggst du?
6305,Meine Mutter kaufte mir letzten Sonntag zwei Paar Hosen.,Miene Moder hett mi vergangen Sünndag twee Paar Büx köfft.
6306,Das Geld ist im Brunnen.,Dat Geld is in ’n Born.
6307,"Es ist das erste Mal, dass er in seinem eigenen Haus wohnt.","Dat is dat eerste Maal, dat he in sien egen Huus wahnt."
6308,Ich bemerkte es erst gestern.,Ik heff dat eerst güstern markt.
6309,Ich habe das erst gestern gemerkt.,Ik heff dat eerst güstern markt.
6310,Ich treffe ihn nicht so oft.,Ik draap em nich so faken.
6311,Was ist aus seinem Sohn geworden?,Wat is ut sien Söhn worrn?
6312,Diese Medizin wird Ihre Krämpfe lindern.,Disse Medizin schall dien Rämm betern.
6313,Er ist um acht Jahre älter als du.,He is acht Jahr öller as du.
6314,Der Hund ist tot.,De Hund is doot.
6315,Er sang und sang.,He süng un süng.
6316,Dieser Bus fährt nach Minsk.,Disse Bus föhrt na Minsch.
6317,Ich nahm zwei Tassen Kaffee.,Ik heff twee Tassen Kaffe nahmen.
6318,Mein Auto wurde von einem Dieb gestohlen.,Mien Auto is vun en Deef stahlen worrn.
6319,Dieser Tisch ist schwer.,Disse Disch is swaar.
6320,"Je besser er die Sprache kennt, desto weniger mag er sie.","Wo beter he de Spraak kennt, wo minner mag he ehr."
6321,Das Wasser ist lauwarm.,Dat water is miegewarm.
6322,"Im Falle, dass du es möchtest, werde ich es tun.","Wenn du dat wullt, denn do ik dat."
6323,"Ich bin froh, wenn ich Quechua spreche.","Ik frei mi, wenn ik Quechua snack."
6324,Ich redete mich heiser.,Ik heff mi heesch snackt.
6325,Nein!,Nee!
6326,Es schneit dort.,Dat sneet dar.
6327,Ich lerne Quechua.,Ik lehr Quechua.
6328,Ich lerne Ketschua.,Ik lehr Quechua.
6329,Manche Leute mögen die Gefahr.,Welk Lüüd möögt de Gefahr.
6330,Er will in die USA gehen.,He will na de USA gahn.
6331,Bleib nicht zu lange in der Sonne.,Bliev nich to lang in ’e Sünn.
6332,Geht diese Uhr?,Geiht düsse Klock?
6333,"Ich hatte genug Geld, um das Kleid zu kaufen.","Ik harr noog Geld, üm dat Kleed to köpen."
6334,Meine Schwester hält ihr Zimmer immer sauber.,Mien Süster höllt ehr Kamer ümmer rein.
6335,Diese Puppe gehört mir.,Disse Popp höört mi to.
6336,"Er kann es sich nicht leisten, ein neues Auto zu kaufen.","He kann sik dat nich tügen, en nee’en Wagen to köpen."
6337,"Die optimale Reihenfolge ist nicht 1-2-3, sondern 3-2-1.","De optimale Reeg is nich 1-2-3, man 3-2-1."
6338,Bist du froh mich zu treffen?,Büst du froh mi to drapen?
6339,Ich habe keine vier Schwestern.,Ik heff keen veer Süstern.
6340,Ich habe keine vier Brüder.,Ik heff keen veer Broder.
6341,Ich habe keine Schwester.,Ik heff kene Süster.
6342,Ich habe keine Schwester.,Ik heff keen Süster.
6343,Ich habe Brüder.,Ik heff Broder.
6344,Juan hat keinen Bruder.,Juan hett keen Broder.
6345,Pedro hat keine Schwester.,Pedro hett keen Süster.
6346,"Pedro, hast du einen Bruder?","Pedro, hest du en Broder?"
6347,"Hast du einen Bruder, Ana?","Hest du en Broder, Ana?"
6348,Ich geh nach Hause.,Ik gah na Huus.
6349,Er wird morgen frei sein.,He schall morgen free wesen.
6350,Ich gehe nicht zu deinem Haus.,Ik gah nich na dien Huus.
6351,Der Name meiner Schwester ist Patricia.,De Naam vun mien Süster is Patricia.
6352,Willkommen in unserem Haus.,Willkamen in uns Huus.
6353,Einer von uns beiden muss hingehen.,Een vun uns beid mutt hengahn.
6354,Hast du das Buch zu Ende gelesen?,Hest du dat Book toenn leest?
6355,Erkenne dich selbst.,Kenn di sülvs.
6356,Kenne dich selbst!,Kenn di sülvs.
6357,Niemand achtet auf sie.,Nüms kkt na ehr.
6358,Dann könnt ihr auch gleich bis Dienstag warten.,Denn köönt ji ok gliek bet Dingsdag töven.
6359,Es kann jedem passieren.,Dat kann elkeen mallören.
6360,"Er wirkt reich, ist es aber nicht.","He lett riek, is dat aver nich."
6361,"Meine Haare standen mir vor Entsetzen zu Berge, als ich die Szene sah.","As ik dat sehn heff, weer ik so verfehrt, dat mi de Hoor to Barg stünnen."
6362,"Nein, das ist nicht mein Haus.","Nee, dat is nich mien Huus."
6363,"Ja, das ist mein Haus.","Jo, dat is mien Huus."
6364,Der Mandant sprach mit seinem Anwalt.,De Mandant hett mit sien Afkaat snackt.
6365,Sie essen einmal in der Woche Fleisch.,Se eet een Maal in de Week Fleesch.
6366,Ein Mal in der Woche essen sie Fleisch.,Se eet een Maal in de Week Fleesch.
6367,"Isst du Fleisch, oder bist du Vegetarier?",Ittst du Fleesch oder büst du Vegetarier?
6368,Der Tischler vermisst den Boden.,De Discher mitt den Bodden ut.
6369,Diese Suppe ist mir zu dünn.,Disse Supp is mi to dünn.
6370,Ich suche ein Geschenk für meine Frau.,Ik söök en Geschenk för mien Fro.
6371,Das haben sie mir nicht gesagt.,Dat hebbt se mi nich seggt.
6372,Tom rettete sie aus dem Feuer.,Tom hett ehr ut dat Füer reddt.
6373,Dies ist ein Stadtplan von Sendai.,Dit is en Stadplaan vun Sendai.
6374,Du solltest das bald tun.,Du schusst dat bald doon.
6375,Gehört dieses Buch Takeo?,Höört dit Book Takeo to?
6376,Plötzlich hob die Sphinx ihren Kopf.,Opmaal deed de Sphinx ehren Kopp opböhren.
6377,Er gewöhnte sich schnell an kaltes Wetter.,He deed sik gau an ’t kole Wedder wennen.
6378,Kate will bis zehn mit ihren Hausaufgaben fertig sein.,Kaat will bet Klock teihn ehr Huusopgaven trech hebben.
6379,Bist du der Chef?,Büst du de Baas?
6380,Wann kommt er?,Wannehr kummt he?
6381,Möchtest du was essen?,Wullt du wat eten?
6382,Sag es.,Segg.
6383,Heute ist ein schönes Wetter.,Vondaag is fein Wedder.
6384,Wie alt ist er?,Wo oolt is he?
6385,"Hallo, mein lieber Freund, wie geht es dir?","Hallo, mien leven Fründ, wo geiht di dat?"
6386,Das macht sie wütend.,Dat maakt ehr füünsch.
6387,"Du sprichst Russisch, oder?","Du snackst Russ’sch, oder?"
6388,Ich komme aus dem Garten.,Ik kaam ut ’n Gaarn.
6389,Sie hatte gestern nichts zu tun.,Se harr güstern nix to doon.
6390,"Das Mädchen, welches gerade zur Tür hereinkommt, kommt immer zu spät.","De Deern, de jüst bi de Döör rinkummt, kummt ümmer to laat."
